,month,max_extreme,min_extreme
1,1,9.540320066656422,-33.019568997635744
2,2,9.917868913436354,-32.57275792496424
3,3,12.574921098397692,-23.44724189995982
4,4,17.855527633740735,-11.669795045936008
5,5,30.80577385732882,-7.984400676333485
6,6,31.74146132510382,1.7162290168820942
7,7,32.92418150274044,6.7186987962917915
8,8,32.75152117453424,4.6975242213929755
9,9,26.901592708044852,-2.0439183276974804
10,10,16.615405057849312,-7.731646603734784
11,11,9.155864100742749,-17.6708195684013
12,12,7.758836000694872,-31.23023753749794
