,month,max_extreme,min_extreme
1,1,-12.065672371235339,-35.644523229012854
2,2,-16.06663513339781,-41.37304506673792
3,3,-17.32948302417527,-50.569120099190236
4,4,-22.703584756678026,-52.37312188638961
5,5,-20.404978119981227,-56.485794736146694
6,6,-22.08740350021781,-54.874790470718004
7,7,-20.672345799795643,-57.613666308270496
8,8,-19.928287846883986,-56.41014404546237
9,9,-19.001674398421997,-55.11491813168103
10,10,-18.178796973184753,-49.91374759594565
11,11,-16.615324137570653,-43.88121270601468
12,12,-12.017561849183405,-36.77680323479632
