,month,max_extreme,min_extreme
1,1,-21.489473144337857,-38.835212422991255
2,2,-24.734670062799605,-49.51561552357202
3,3,-31.740530336026257,-58.25713867160528
4,4,-36.38052471597781,-61.66325804319218
5,5,-35.859766804408835,-62.374602428047886
6,6,-35.45394862328368,-62.28278474199222
7,7,-39.67791435102461,-63.30813591838685
8,8,-36.19888871874053,-65.37576806087296
9,9,-37.20419292630855,-63.36673529478014
10,10,-34.361629297697334,-55.619576453797976
11,11,-22.993290540031076,-48.795351582259826
12,12,-20.82932420217265,-37.20969121708495
