,month,max_extreme,min_extreme
1,1,-8.757734575999649,-28.521968516684247
2,2,-8.33812395119589,-36.11446069273835
3,3,-11.158788126133985,-45.48512956875854
4,4,-13.489012786066857,-49.269047791331424
5,5,-7.746280216370131,-48.50364735989317
6,6,-10.936421321443483,-47.63636414167372
7,7,-11.791517649868108,-49.30113634601601
8,8,-13.957223818603644,-59.96136176992036
9,9,-16.303245805890942,-50.70168153107757
10,10,-18.35600134637209,-42.48141033393451
11,11,-11.219628453394865,-37.540725599265016
12,12,-7.151969230223298,-28.889059843966912
