,month,max_extreme,min_extreme
1,1,34.78942236937132,20.585873575034935
2,2,34.446174592105415,20.4286143842088
3,3,34.20356573622263,20.579542833257015
4,4,33.392441792368196,19.155080825887204
5,5,33.650384358846736,16.16485347198537
6,6,35.03437033246436,15.080465828790363
7,7,36.23133822623246,15.076518431854751
8,8,39.46505208435593,15.682343488494578
9,9,39.422087350949454,19.397992976758132
10,10,38.344710014020535,20.36787954328455
11,11,36.84697465870168,18.97386074211152
12,12,34.676650389913576,20.89060880865739
