month,max_mean,max_std,min_mean,min_std,max_extreme,min_extreme,latitude,longitude
1,-7.3492501612903,7.057506582950501,-15.933863978494601,7.807499100113479,10.294516296085952,-35.4526117287783,50,80
2,-5.896203058823507,6.825110535923589,-15.25152988235292,7.693184239515839,11.166573280985464,-34.484490481142515,50,80
3,2.8276240860215283,6.460525003507399,-8.17582639784944,5.550497817594425,18.978936594790028,-22.052070941835503,50,80
4,15.902293944444468,6.496270374306658,0.7391844444444666,4.7451073400053145,32.14296988021111,-11.12358390556882,50,80
5,23.301415860215076,5.706118424907583,9.061401075268842,4.357019328458754,37.56671192248403,-1.831147245878043,50,80
6,27.581076833333352,5.346979975695827,14.6597937777778,3.644553199902522,40.94852677257292,5.548410778021495,50,80
7,28.77353758620692,3.408184952663989,16.677318678160944,2.010027108282956,37.293999967866895,11.652250907453555,50,80
8,26.183147161290343,4.211894082775949,14.641114000000025,2.8372501396609304,36.71288236823021,7.5479886508476985,50,80
9,18.72965353333336,6.559679308800052,7.424754733333357,4.462438619841842,35.12885180533349,-3.7313418162712484,50,80
10,11.079788322580667,5.3774372043634795,0.9864380000000207,3.689266786306022,24.523381333489368,-8.236728965765034,50,80
11,0.7771038666666894,7.842104714351975,-7.046176066666644,7.837351823427077,20.382365652546625,-26.639555625234333,50,80
12,-7.544062903225783,7.257878725676301,-14.802272774193526,8.083540698137796,10.60063391096497,-35.011124519538015,50,80
