,date,temp_max,temp_min,latitude,longitude,country,region,city,notes,max_mean,max_std,max_extreme,std_above_extreme
0,2022-09-01,34.90664000000004,18.795860000000005,50,60,Kazakhstan,,Aktobe,,19.87000453333336,5.656088369941491,34.01022545818709,0.15848665777161908
1,2022-09-02,36.77734000000004,21.303770000000043,50,60,Kazakhstan,,Aktobe,,19.87000453333336,5.656088369941491,34.01022545818709,0.489227600565508
2,2022-09-03,35.11940000000004,18.952660000000037,50,60,Kazakhstan,,Aktobe,,19.87000453333336,5.656088369941491,34.01022545818709,0.1961027602941127
3,2023-03-27,18.999900000000025,0.0057000000000471,50,60,Kazakhstan,,Aktobe,,1.1378166129032483,6.954126689733252,18.523133337236377,0.06855881177251545
4,2023-03-28,19.69106000000005,1.411100000000033,50,60,Kazakhstan,,Aktobe,,1.1378166129032483,6.954126689733252,18.523133337236377,0.16794728006436024
5,2021-02-23,17.184600000000046,-0.0425500000000056,50,10,Germay,,Frankfurt,,7.029312647058847,4.03963431574242,17.128398436414898,0.013912537421055922
6,2021-02-24,17.222680000000025,2.1919200000000387,50,10,Germay,,Frankfurt,,7.029312647058847,4.03963431574242,17.128398436414898,0.023339133252164204
7,2022-07-19,33.5018,15.92837000000003,50,10,Germay,,Frankfurt,,23.75303994252876,3.701780417778759,33.00749098697566,0.133532775377571
8,2022-07-20,34.16732000000002,18.29830000000004,50,10,Germay,,Frankfurt,,23.75303994252876,3.701780417778759,33.00749098697566,0.3133165347825543
9,2022-12-31,15.68127000000004,11.563199999999997,50,10,Germay,,Frankfurt,,4.717687870967766,3.4479132174891443,13.337470914690629,0.6797732244015771
10,2023-01-01,14.183370000000023,9.939360000000022,50,10,Germay,,Frankfurt,,4.346237204301097,3.4936296258368755,13.080311268893286,0.3157343076521761
11,2020-07-15,34.22500000000002,20.0523,60,60,Russia,,,,22.697076379310367,4.546694591418054,34.0638128578555,0.035451499744179646
12,2020-07-16,34.94332000000003,20.778620000000046,60,60,Russia,,,,22.697076379310367,4.546694591418054,34.0638128578555,0.19343879921132312
13,2023-04-25,19.04815000000002,2.6697599999999966,60,60,Russia,,,,6.362819833333356,4.050452904907443,16.488952095601967,0.6318300606081321
14,2023-04-26,17.26827000000003,4.590419999999995,60,60,Russia,,,,6.362819833333356,4.050452904907443,16.488952095601967,0.1924026578494118
15,2020-05-29,14.322900000000004,3.0181200000000104,60,-160,United States of America,Alaska,,,4.696105537634431,3.7450087849257168,14.058627499948724,0.07056659015461358
16,2020-05-30,16.06176000000005,7.447400000000016,60,-160,United States of America,Alaska,,,4.696105537634431,3.7450087849257168,14.058627499948724,0.53488058776104
17,2020-05-31,16.06854000000004,6.190820000000031,60,-160,United States of America,Alaska,,,4.696105537634431,3.7450087849257168,14.058627499948724,0.5366909973994052
18,2021-08-03,20.92587000000003,8.456320000000005,60,-160,United States of America,Alaska,,,11.617520645161314,3.040728995662376,19.219343134317256,0.561222939669122
19,2021-08-04,21.58325000000002,9.652150000000006,60,-160,United States of America,Alaska,,,11.617520645161314,3.040728995662376,19.219343134317256,0.7774145177208809
20,2023-08-02,19.763850000000048,10.650300000000016,60,-160,United States of America,Alaska,,,11.617520645161314,3.040728995662376,19.219343134317256,0.17907115907387167
21,2023-08-03,19.635640000000024,8.388970000000029,60,-160,United States of America,Alaska,,,11.617520645161314,3.040728995662376,19.219343134317256,0.13690692800200807
22,2024-07-22,22.19058000000001,12.828420000000053,60,-160,United States of America,Alaska,,,12.953642701149446,3.5176597237963008,21.747792010640197,0.1258757310618869
23,2024-07-23,23.12148000000002,14.143520000000024,60,-160,United States of America,Alaska,,,12.953642701149446,3.5176597237963008,21.747792010640197,0.39051190200890784
24,2024-07-24,23.36453,14.621400000000053,60,-160,United States of America,Alaska,,,12.953642701149446,3.5176597237963008,21.747792010640197,0.45960613484666407
25,2020-05-21,18.308250000000044,5.981960000000015,70,100,Russia,,,,-0.6423359139784725,6.182994373460027,14.815150019671597,0.5649527994594785
26,2020-05-22,21.87435000000005,8.20455000000004,70,100,Russia,,,,-0.6423359139784725,6.182994373460027,14.815150019671597,1.141712179236239
27,2020-05-23,22.205200000000048,8.991880000000037,70,100,Russia,,,,-0.6423359139784725,6.182994373460027,14.815150019671597,1.1952218510904047
28,2020-05-24,22.125969999999995,9.205560000000048,70,100,Russia,,,,-0.6423359139784725,6.182994373460027,14.815150019671597,1.1824076715498022
29,2020-05-25,17.258050000000026,-0.2704799999999636,70,100,Russia,,,,-0.6423359139784725,6.182994373460027,14.815150019671597,0.39509982263842375
30,2023-05-30,10.883200000000045,1.5553800000000138,70,70,Russia,,,,-0.0489596774193324,3.8134177779123903,9.484584767361644,0.3667616070652651
31,2023-05-31,12.350240000000042,0.7177400000000489,70,70,Russia,,,,-0.0489596774193324,3.8134177779123903,9.484584767361644,0.7514663746617257
32,2023-08-05,25.189450000000026,13.816280000000006,70,70,Russia,,,,14.864016322580664,4.109241028750475,25.13711889445685,0.012734980785268624
33,2023-08-06,26.219960000000015,15.888329999999996,70,70,Russia,,,,14.864016322580664,4.109241028750475,25.13711889445685,0.2635136508097289
34,2023-08-07,25.646140000000003,14.244470000000035,70,70,Russia,,,,14.864016322580664,4.109241028750475,25.13711889445685,0.12387229222665803
35,2020-02-06,13.87190000000004,9.347680000000024,40,50,Azerbijan,,,,8.081677823529434,2.2933389568491074,13.815025215652202,0.024799990502049073
36,2020-02-07,14.250400000000012,7.606960000000015,40,50,Azerbijan,,,,8.081677823529434,2.2933389568491074,13.815025215652202,0.18984319044838657
