latitude,longitude,country,region,location,city,notes
40,100,China,,,Jiuquan,
50,100,Mongolia,,,Erdenet,
60,100,Russia,,,,
70,100,Russia,,,,
-80,110,Antarctic,Antarctic,,,
-70,110,Antarctic,Antarctic,,,
0,110,"Indonesia (Malaysia, Brunei)",,,,
30,110,China,,,,
40,110,China,,,,
50,110,Russia / Mongolia,,,,
60,110,Russia,,,,
70,110,Russia,,,,
-80,120,Antarctic,Antarctic,,,
-70,120,Antarctic,Antarctic,,,
-30,120,Australia,Western Australia,,Perth,
-20,120,Australia,Western Australia,,Port Hedland,
-10,120,Indonesia,,,,
0,120,Indonesia (Philippines),,,,
30,120,China,,,Nanjing,
50,120,China,,,,
60,120,Russia,,,,
70,120,Russia,,,,
-80,130,Antarctic,Antarctic,,,
-70,130,Antarctic,Antarctic,,,
-20,130,Australia,,,,
50,130,"China (North Korea, South Korea)",,,,
60,130,Russia,,,,
70,130,Russia,,,,
-80,140,Antarctic,Antarctic,,,
-70,140,Antarctic,Antarctic,,,
-30,140,Australia,,,Adelaide,
-20,140,Australia,,,,
40,140,Japan,,,Tokoyo,
50,140,Russia,,,,
70,140,Russia,,,,
-80,150,Antarctic,Antarctic,,,
-70,150,Antarctic,Antarctic,,,
-30,150,Australia,,,"Brisbane, Sydney",
70,150,Russia,,,,
-80,160,Antarctic,Antarctic,,,
-70,160,Antarctic,Antarctic,,,
-80,170,Antarctic,Antarctic,,,
-80,180,Antarctic,Antarctic,,,
