,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave,month,lat_int,long_int
2359,2022-09-30,3.7857999999999943,-3.735699999999952,50.00000000000128,70.00000000000028,False,True,False,True,9,50,70
2360,2022-11-26,-18.486839999999972,-25.387179999999972,50.00000000000128,70.00000000000028,False,True,False,True,11,50,70
2361,2022-11-27,-16.880619999999965,-24.606449999999967,50.00000000000128,70.00000000000028,False,True,False,True,11,50,70
2362,2023-04-17,-0.457429999999988,-14.082599999999957,50.00000000000128,70.00000000000028,False,True,False,True,4,50,70
2363,2023-04-18,4.3839399999999955,-15.27279999999996,50.00000000000128,70.00000000000028,False,True,False,True,4,50,70
2364,2020-10-26,30.76812000000001,16.789030000000025,10.000000000000815,50.000000000000455,False,True,False,True,10,10,50
2365,2020-10-27,30.86130000000003,16.733000000000004,10.000000000000815,50.000000000000455,False,True,False,True,10,10,50
2366,2020-10-28,31.278650000000027,17.220180000000028,10.000000000000815,50.000000000000455,False,True,False,True,10,10,50
2367,2021-04-08,32.94060000000002,15.49720000000002,10.000000000000815,50.000000000000455,False,True,False,True,4,10,50
2368,2021-04-09,33.71475000000004,15.164900000000046,10.000000000000815,50.000000000000455,False,True,False,True,4,10,50
2369,2020-10-28,-6.278229999999951,-13.427599999999984,60.00000000000142,79.99999999999972,False,True,False,True,10,60,80
2370,2020-10-29,-6.869119999999953,-14.136079999999993,60.00000000000142,79.99999999999972,False,True,False,True,10,60,80
2371,2020-12-26,-41.96608999999998,-45.727449999999976,60.00000000000142,79.99999999999972,False,True,False,True,12,60,80
2372,2020-12-27,-35.85019999999997,-47.55075999999997,60.00000000000142,79.99999999999972,False,True,False,True,12,60,80
2373,2021-01-23,-35.418259999999975,-46.27284999999998,60.00000000000142,79.99999999999972,False,True,False,True,1,60,80
2374,2021-01-24,-44.68393999999998,-47.97425999999999,60.00000000000142,79.99999999999972,False,True,False,True,1,60,80
2375,2021-01-25,-42.76518999999999,-49.09988999999999,60.00000000000142,79.99999999999972,False,True,False,True,1,60,80
2376,2021-01-26,-26.66122999999999,-46.89686999999998,60.00000000000142,79.99999999999972,False,True,False,True,1,60,80
2377,2022-11-25,-30.542959999999965,-33.03989999999999,60.00000000000142,79.99999999999972,False,True,False,True,11,60,80
2378,2022-11-26,-29.889199999999988,-32.60884999999999,60.00000000000142,79.99999999999972,False,True,False,True,11,60,80
2379,2023-10-30,-8.64041999999995,-14.20053999999999,60.00000000000142,79.99999999999972,False,True,False,True,10,60,80
2380,2023-10-31,-10.44256999999999,-18.202889999999968,60.00000000000142,79.99999999999972,False,True,False,True,10,60,80
2381,2020-04-26,-25.149159999999966,-30.611799999999988,-79.99999999999889,9.999999999999972,True,False,True,False,4,-80,10
2382,2020-04-27,-24.607579999999984,-31.236099999999965,-79.99999999999889,9.999999999999972,True,False,True,False,4,-80,10
2383,2021-03-04,-24.172699999999963,-32.625069999999965,-79.99999999999889,9.999999999999972,True,False,True,False,3,-80,10
2384,2021-03-05,-22.42683999999997,-24.84314999999998,-79.99999999999889,9.999999999999972,True,False,True,False,3,-80,10
2385,2021-03-06,-22.925819999999987,-26.76181999999997,-79.99999999999889,9.999999999999972,True,False,True,False,3,-80,10
2386,2022-01-20,-15.097139999999968,-21.427419999999984,-79.99999999999889,9.999999999999972,True,False,True,False,1,-80,10
2387,2022-01-21,-16.573519999999974,-21.069619999999983,-79.99999999999889,9.999999999999972,True,False,True,False,1,-80,10
2388,2023-07-07,-28.769999999999985,-29.73426999999998,-79.99999999999889,9.999999999999972,True,False,True,False,7,-80,10
2389,2023-07-08,-29.468679999999974,-45.01663999999997,-79.99999999999889,9.999999999999972,True,False,True,False,7,-80,10
2390,2023-11-17,-15.175449999999955,-18.609869999999972,-79.99999999999889,9.999999999999972,True,False,True,False,11,-80,10
2391,2023-11-18,-14.294039999999995,-18.571649999999977,-79.99999999999889,9.999999999999972,True,False,True,False,11,-80,10
2392,2023-12-01,-32.899219999999985,-37.86648999999997,-79.99999999999889,9.999999999999972,False,True,False,True,12,-80,10
2393,2023-12-02,-33.52882999999997,-38.66925999999998,-79.99999999999889,9.999999999999972,False,True,False,True,12,-80,10
2394,2023-12-03,-32.86656999999997,-39.005679999999984,-79.99999999999889,9.999999999999972,False,True,False,True,12,-80,10
2395,2024-05-01,-28.11451999999997,-33.13137999999998,-79.99999999999889,9.999999999999972,True,False,True,False,5,-80,10
2396,2024-05-02,-27.227509999999967,-29.042669999999987,-79.99999999999889,9.999999999999972,True,False,True,False,5,-80,10
2397,2024-05-03,-28.751119999999982,-34.01455999999999,-79.99999999999889,9.999999999999972,True,False,True,False,5,-80,10
2398,2024-07-26,-28.99939999999998,-38.261109999999974,-79.99999999999889,9.999999999999972,True,False,True,False,7,-80,10
2399,2024-07-27,-26.760699999999986,-34.66967999999997,-79.99999999999889,9.999999999999972,True,False,True,False,7,-80,10
2400,2024-07-28,-28.58117999999999,-35.39596999999998,-79.99999999999889,9.999999999999972,True,False,True,False,7,-80,10
2401,2024-07-29,-26.886199999999977,-37.92372999999998,-79.99999999999889,9.999999999999972,True,False,True,False,7,-80,10
2402,2024-07-30,-24.739749999999987,-26.892869999999988,-79.99999999999889,9.999999999999972,True,False,True,False,7,-80,10
2403,2024-07-31,-26.87111999999999,-31.99166999999997,-79.99999999999889,9.999999999999972,True,False,True,False,7,-80,10
2404,2025-02-09,-18.852119999999985,-28.95429999999999,-79.99999999999889,9.999999999999972,True,False,True,False,2,-80,10
2405,2025-02-10,-19.84651999999997,-21.810189999999977,-79.99999999999889,9.999999999999972,True,False,True,False,2,-80,10
2406,2025-02-11,-19.514839999999964,-23.129689999999982,-79.99999999999889,9.999999999999972,True,False,True,False,2,-80,10
2407,2022-07-20,25.35420000000005,14.65148000000005,40.00000000000114,89.99999999999915,False,True,False,True,7,40,90
2408,2022-07-21,33.96652,15.268400000000042,40.00000000000114,89.99999999999915,False,True,False,True,7,40,90
2409,2023-04-03,8.59286000000003,-4.0175499999999715,40.00000000000114,89.99999999999915,False,True,False,True,4,40,90
2410,2023-04-04,6.6481600000000185,-4.505769999999984,40.00000000000114,89.99999999999915,False,True,False,True,4,40,90
2411,2023-04-05,13.12112000000002,-4.643469999999979,40.00000000000114,89.99999999999915,False,True,False,True,4,40,90
2412,2023-04-06,15.46078,-1.7928799999999685,40.00000000000114,89.99999999999915,False,True,False,True,4,40,90
2413,2023-05-06,16.316670000000045,4.667320000000018,40.00000000000114,89.99999999999915,False,True,False,True,5,40,90
